team,games_country,team_match,home_team_match
Poland,Russia,Poland,Russian Federation
Poland,Brazil,Poland,Brazil
Poland,South Korea,Poland,
Poland,Japan,Poland,Japan
Haiti,France,Haiti,France
Haiti,Netherlands,Haiti,Netherlands
Monaco,France,,France
Portugal,France,Portugal,France
Portugal,Netherlands,Portugal,Netherlands
Portugal,Germany,Portugal,Germany
Portugal,United Kingdom,Portugal,United Kingdom
Portugal,Finland,Portugal,Finland
Portugal,Italy,Portugal,Italy
Portugal,Canada,Portugal,Canada
Portugal,United States,Portugal,United States
Portugal,South Korea,Portugal,
Portugal,United States,Portugal,United States
Portugal,Australia,Portugal,Australia
Portugal,Greece,Portugal,Greece
Portugal,China,Portugal,China
Portugal,United Kingdom,Portugal,United Kingdom
Portugal,Brazil,Portugal,Brazil
Portugal,Japan,Portugal,Japan
Romania,France,Romania,France
Romania,Germany,Romania,Germany
Romania,Finland,Romania,Finland
Romania,Australia,Romania,Australia
Romania,Italy,Romania,Italy
Romania,Japan,Romania,Japan
Romania,Mexico,Romania,Mexico
Romania,France,Romania,France
Romania,Germany,Romania,Germany
Romania,Canada,Romania,Canada
Romania,Russia,Romania,Russian Federation
Romania,United States,Romania,United States
Romania,South Korea,Romania,
Romania,Spain,Romania,Spain
Romania,United States,Romania,United States
Romania,Australia,Romania,Australia
Romania,Greece,Romania,Greece
Romania,China,Romania,China
Romania,United Kingdom,Romania,United Kingdom
Romania,Brazil,Romania,Brazil
Romania,Japan,Romania,Japan
Egypt,Netherlands,Egypt,Netherlands
Egypt,Germany,Egypt,Germany
Egypt,United Kingdom,Egypt,United Kingdom
Egypt,Finland,Egypt,Finland
Egypt,United States,Egypt,United States
Egypt,Greece,Egypt,Greece
Egypt,China,Egypt,China
Egypt,United Kingdom,Egypt,United Kingdom
Egypt,Brazil,Egypt,Brazil
Egypt,Japan,Egypt,Japan
India,Netherlands,India,Netherlands
India,United States,India,United States
India,Germany,India,Germany
India,United Kingdom,India,United Kingdom
India,Finland,India,Finland
India,Australia,India,Australia
India,Italy,India,Italy
India,Japan,India,Japan
India,Mexico,India,Mexico
India,Germany,India,Germany
India,Russia,India,Russian Federation
India,United States,India,United States
India,Australia,India,Australia
India,Greece,India,Greece
India,China,India,China
India,United Kingdom,India,United Kingdom
India,Brazil,India,Brazil
India,Japan,India,Japan
Chile,Netherlands,Chile,Netherlands
Chile,Finland,Chile,Finland
Chile,Australia,Chile,Australia
Chile,South Korea,Chile,
Chile,Australia,Chile,Australia
Chile,Greece,Chile,Greece
Chile,China,Chile,China
Philippines,Netherlands,Philippines,Netherlands
Philippines,United States,Philippines,United States
Philippines,Germany,Philippines,Germany
Philippines,Japan,Philippines,Japan
Philippines,South Korea,Philippines,
Philippines,Spain,Philippines,Spain
Philippines,United States,Philippines,United States
Philippines,Brazil,Philippines,Brazil
Philippines,Japan,Philippines,Japan
Mexico,United States,Mexico,United States
Mexico,Germany,Mexico,Germany
Mexico,United Kingdom,Mexico,United Kingdom
Mexico,Finland,Mexico,Finland
Mexico,Australia,Mexico,Australia
Mexico,Italy,Mexico,Italy
Mexico,Japan,Mexico,Japan
Mexico,Mexico,Mexico,Mexico
Mexico,Germany,Mexico,Germany
Mexico,Canada,Mexico,Canada
Mexico,Russia,Mexico,Russian Federation
Mexico,United States,Mexico,United States
Mexico,South Korea,Mexico,
Mexico,Spain,Mexico,Spain
Mexico,United States,Mexico,United States
Mexico,Australia,Mexico,Australia
Mexico,Greece,Mexico,Greece
Mexico,China,Mexico,China
Mexico,United Kingdom,Mexico,United Kingdom
Mexico,Brazil,Mexico,Brazil
Mexico,Japan,Mexico,Japan
Latvia,United States,Latvia,United States
Latvia,Germany,Latvia,Germany
Latvia,Spain,Latvia,Spain
Latvia,United States,Latvia,United States
Latvia,Australia,Latvia,Australia
Latvia,Greece,Latvia,Greece
Latvia,China,Latvia,China
Latvia,Canada,Latvia,Canada
Latvia,United Kingdom,Latvia,United Kingdom
Latvia,Russia,Latvia,Russian Federation
Latvia,South Korea,Latvia,
Latvia,Japan,Latvia,Japan
Turkey,Germany,Turkey,Germany
Turkey,United Kingdom,Turkey,United Kingdom
Turkey,Finland,Turkey,Finland
Turkey,Australia,Turkey,Australia
Turkey,Italy,Turkey,Italy
Turkey,Japan,Turkey,Japan
Turkey,Mexico,Turkey,Mexico
Turkey,Germany,Turkey,Germany
Turkey,United States,Turkey,United States
Turkey,South Korea,Turkey,
Turkey,Spain,Turkey,Spain
Turkey,United States,Turkey,United States
Turkey,Australia,Turkey,Australia
Turkey,Greece,Turkey,Greece
Turkey,China,Turkey,China
Turkey,United Kingdom,Turkey,United Kingdom
Turkey,Brazil,Turkey,Brazil
Turkey,Japan,Turkey,Japan
Jamaica,United Kingdom,Jamaica,United Kingdom
Jamaica,Finland,Jamaica,Finland
Jamaica,Mexico,Jamaica,Mexico
Jamaica,Germany,Jamaica,Germany
Jamaica,Canada,Jamaica,Canada
Jamaica,Russia,Jamaica,Russian Federation
Jamaica,United States,Jamaica,United States
Jamaica,South Korea,Jamaica,
Jamaica,Spain,Jamaica,Spain
Jamaica,United States,Jamaica,United States
Jamaica,Australia,Jamaica,Australia
Jamaica,Greece,Jamaica,Greece
Jamaica,China,Jamaica,China
Jamaica,United Kingdom,Jamaica,United Kingdom
Jamaica,Brazil,Jamaica,Brazil
Jamaica,Japan,Jamaica,Japan
Peru,United Kingdom,Peru,United Kingdom
Peru,United States,Peru,United States
Peru,South Korea,Peru,
Peru,Spain,Peru,Spain
Trinidad and Tobago,United Kingdom,Trinidad and Tobago,United Kingdom
Trinidad and Tobago,Finland,Trinidad and Tobago,Finland
Trinidad and Tobago,Japan,Trinidad and Tobago,Japan
Trinidad and Tobago,Canada,Trinidad and Tobago,Canada
Trinidad and Tobago,United States,Trinidad and Tobago,United States
Trinidad and Tobago,Australia,Trinidad and Tobago,Australia
Trinidad and Tobago,Greece,Trinidad and Tobago,Greece
Trinidad and Tobago,China,Trinidad and Tobago,China
Trinidad and Tobago,United Kingdom,Trinidad and Tobago,United Kingdom
Trinidad and Tobago,Brazil,Trinidad and Tobago,Brazil
Sri Lanka,United Kingdom,Sri Lanka,United Kingdom
Sri Lanka,Australia,Sri Lanka,Australia
Cuba,United Kingdom,Cuba,United Kingdom
Cuba,Japan,Cuba,Japan
Cuba,Mexico,Cuba,Mexico
Cuba,Germany,Cuba,Germany
Cuba,Canada,Cuba,Canada
Cuba,Russia,Cuba,Russian Federation
Cuba,Spain,Cuba,Spain
Cuba,United States,Cuba,United States
Cuba,Australia,Cuba,Australia
Cuba,Greece,Cuba,Greece
Cuba,China,Cuba,China
Cuba,United Kingdom,Cuba,United Kingdom
Cuba,Brazil,Cuba,Brazil
Cuba,Japan,Cuba,Japan
Republic of Korea,United Kingdom,Republic of Korea,United Kingdom
Republic of Korea,Finland,Republic of Korea,Finland
Republic of Korea,Australia,Republic of Korea,Australia
Republic of Korea,Japan,Republic of Korea,Japan
Republic of Korea,Mexico,Republic of Korea,Mexico
Republic of Korea,Germany,Republic of Korea,Germany
Republic of Korea,Canada,Republic of Korea,Canada
Republic of Korea,United States,Republic of Korea,United States
Republic of Korea,South Korea,Republic of Korea,
Republic of Korea,France,Republic of Korea,France
Republic of Korea,Spain,Republic of Korea,Spain
Republic of Korea,Norway,Republic of Korea,Norway
Republic of Korea,United States,Republic of Korea,United States
Republic of Korea,Japan,Republic of Korea,Japan
Republic of Korea,Australia,Republic of Korea,Australia
Republic of Korea,United States,Republic of Korea,United States
Republic of Korea,Greece,Republic of Korea,Greece
Republic of Korea,China,Republic of Korea,China
Republic of Korea,Canada,Republic of Korea,Canada
Republic of Korea,United Kingdom,Republic of Korea,United Kingdom
Republic of Korea,Russia,Republic of Korea,Russian Federation
Republic of Korea,Brazil,Republic of Korea,Brazil
Republic of Korea,South Korea,Republic of Korea,
Republic of Korea,Japan,Republic of Korea,Japan
Panama,United Kingdom,Panama,United Kingdom
Panama,China,Panama,China
Islamic Republic of Iran,United Kingdom,Iran (Islamic Republic of),United Kingdom
Islamic Republic of Iran,Finland,Iran (Islamic Republic of),Finland
Islamic Republic of Iran,Australia,Iran (Islamic Republic of),Australia
Islamic Republic of Iran,Italy,Iran (Islamic Republic of),Italy
Islamic Republic of Iran,Japan,Iran (Islamic Republic of),Japan
Islamic Republic of Iran,Mexico,Iran (Islamic Republic of),Mexico
Islamic Republic of Iran,Germany,Iran (Islamic Republic of),Germany
Islamic Republic of Iran,Canada,Iran (Islamic Republic of),Canada
Islamic Republic of Iran,South Korea,Iran (Islamic Republic of),
Islamic Republic of Iran,Spain,Iran (Islamic Republic of),Spain
Islamic Republic of Iran,United States,Iran (Islamic Republic of),United States
Islamic Republic of Iran,Australia,Iran (Islamic Republic of),Australia
Islamic Republic of Iran,Greece,Iran (Islamic Republic of),Greece
Islamic Republic of Iran,China,Iran (Islamic Republic of),China
Islamic Republic of Iran,United Kingdom,Iran (Islamic Republic of),United Kingdom
Islamic Republic of Iran,Brazil,Iran (Islamic Republic of),Brazil
Islamic Republic of Iran,Japan,Iran (Islamic Republic of),Japan
Puerto Rico,United Kingdom,Puerto Rico,United Kingdom
Puerto Rico,Canada,Puerto Rico,Canada
Puerto Rico,United States,Puerto Rico,United States
Puerto Rico,Spain,Puerto Rico,Spain
Puerto Rico,United States,Puerto Rico,United States
Puerto Rico,United Kingdom,Puerto Rico,United Kingdom
Puerto Rico,Brazil,Puerto Rico,Brazil
Puerto Rico,Japan,Puerto Rico,Japan
Soviet Union,Finland,Former USSR,Finland
Soviet Union,Australia,Former USSR,Australia
Soviet Union,United States,Former USSR,United States
Soviet Union,Italy,Former USSR,Italy
Soviet Union,Austria,Former USSR,Austria
Soviet Union,Japan,Former USSR,Japan
Soviet Union,Mexico,Former USSR,Mexico
Soviet Union,France,Former USSR,France
Soviet Union,Japan,Former USSR,Japan
Soviet Union,Germany,Former USSR,Germany
Soviet Union,Canada,Former USSR,Canada
Soviet Union,Austria,Former USSR,Austria
Soviet Union,Russia,Former USSR,Russian Federation
Soviet Union,United States,Former USSR,United States
Soviet Union,Bosnia and Herzegovina,Former USSR,
Soviet Union,South Korea,Former USSR,
Soviet Union,Canada,Former USSR,Canada
Lebanon,Finland,Lebanon,Finland
Lebanon,Germany,Lebanon,Germany
Lebanon,Russia,Lebanon,Russian Federation
Bulgaria,Finland,Bulgaria,Finland
Bulgaria,Australia,Bulgaria,Australia
Bulgaria,Italy,Bulgaria,Italy
Bulgaria,Japan,Bulgaria,Japan
Bulgaria,Mexico,Bulgaria,Mexico
Bulgaria,Germany,Bulgaria,Germany
Bulgaria,Canada,Bulgaria,Canada
Bulgaria,Russia,Bulgaria,Russian Federation
Bulgaria,United States,Bulgaria,United States
Bulgaria,South Korea,Bulgaria,
Bulgaria,Spain,Bulgaria,Spain
Bulgaria,United States,Bulgaria,United States
Bulgaria,Japan,Bulgaria,Japan
Bulgaria,Australia,Bulgaria,Australia
Bulgaria,United States,Bulgaria,United States
Bulgaria,Greece,Bulgaria,Greece
Bulgaria,China,Bulgaria,China
Bulgaria,United Kingdom,Bulgaria,United Kingdom
Bulgaria,Brazil,Bulgaria,Brazil
Bulgaria,Japan,Bulgaria,Japan
Venezuela,Finland,Venezuela (Bolivarian Republic of),Finland
Venezuela,Italy,Venezuela (Bolivarian Republic of),Italy
Venezuela,Mexico,Venezuela (Bolivarian Republic of),Mexico
Venezuela,Canada,Venezuela (Bolivarian Republic of),Canada
Venezuela,Russia,Venezuela (Bolivarian Republic of),Russian Federation
Venezuela,United States,Venezuela (Bolivarian Republic of),United States
Venezuela,Greece,Venezuela (Bolivarian Republic of),Greece
Venezuela,China,Venezuela (Bolivarian Republic of),China
Venezuela,United Kingdom,Venezuela (Bolivarian Republic of),United Kingdom
Venezuela,Brazil,Venezuela (Bolivarian Republic of),Brazil
Venezuela,Japan,Venezuela (Bolivarian Republic of),Japan
Iceland,Australia,Iceland,Australia
Iceland,United States,Iceland,United States
Iceland,Australia,Iceland,Australia
Iceland,China,Iceland,China
Pakistan,Australia,Pakistan,Australia
Pakistan,Italy,Pakistan,Italy
Pakistan,Japan,Pakistan,Japan
Pakistan,Mexico,Pakistan,Mexico
Pakistan,Germany,Pakistan,Germany
Pakistan,Canada,Pakistan,Canada
Pakistan,United States,Pakistan,United States
Pakistan,South Korea,Pakistan,
Pakistan,Spain,Pakistan,Spain
Bahamas,Australia,,Australia
Bahamas,Japan,,Japan
Bahamas,Spain,,Spain
Bahamas,United States,,United States
Bahamas,Australia,,Australia
Bahamas,Greece,,Greece
Bahamas,China,,China
Bahamas,United Kingdom,,United Kingdom
Bahamas,Brazil,,Brazil
Bahamas,Japan,,Japan
Ethiopia,Italy,Ethiopia,Italy
Ethiopia,Japan,Ethiopia,Japan
Ethiopia,Mexico,Ethiopia,Mexico
Ethiopia,Germany,Ethiopia,Germany
Ethiopia,Russia,Ethiopia,Russian Federation
Ethiopia,Spain,Ethiopia,Spain
Ethiopia,United States,Ethiopia,United States
Ethiopia,Australia,Ethiopia,Australia
Ethiopia,Greece,Ethiopia,Greece
Ethiopia,China,Ethiopia,China
Ethiopia,United Kingdom,Ethiopia,United Kingdom
Ethiopia,Brazil,Ethiopia,Brazil
Ethiopia,Japan,Ethiopia,Japan
United Arab Republic,Italy,,Italy
Ghana,Italy,Ghana,Italy
Ghana,Japan,Ghana,Japan
Ghana,Germany,Ghana,Germany
Ghana,Spain,Ghana,Spain
Ghana,Japan,Ghana,Japan
Morocco,Italy,Morocco,Italy
Morocco,United States,Morocco,United States
Morocco,South Korea,Morocco,
Morocco,Spain,Morocco,Spain
Morocco,United States,Morocco,United States
Morocco,Australia,Morocco,Australia
Morocco,Greece,Morocco,Greece
Morocco,China,Morocco,China
Morocco,United Kingdom,Morocco,United Kingdom
Morocco,Brazil,Morocco,Brazil
Morocco,Japan,Morocco,Japan
Chinese Taipei,Italy,Taiwan Province of China,Italy
Chinese Taipei,Mexico,Taiwan Province of China,Mexico
Chinese Taipei,United States,Taiwan Province of China,United States
Chinese Taipei,Spain,Taiwan Province of China,Spain
Chinese Taipei,United States,Taiwan Province of China,United States
Chinese Taipei,Australia,Taiwan Province of China,Australia
Chinese Taipei,Greece,Taiwan Province of China,Greece
Chinese Taipei,China,Taiwan Province of China,China
Chinese Taipei,United Kingdom,Taiwan Province of China,United Kingdom
Chinese Taipei,Brazil,Taiwan Province of China,Brazil
Chinese Taipei,Japan,Taiwan Province of China,Japan
Singapore,Italy,Singapore,Italy
Singapore,China,Singapore,China
Singapore,United Kingdom,Singapore,United Kingdom
Singapore,Brazil,Singapore,Brazil
West Indies Federation,Italy,,Italy
Iraq,Italy,Iraq,Italy
Democratic People's Republic of Korea,Austria,D.P.R. of Korea,Austria
Democratic People's Republic of Korea,Germany,D.P.R. of Korea,Germany
Democratic People's Republic of Korea,Canada,D.P.R. of Korea,Canada
Democratic People's Republic of Korea,Russia,D.P.R. of Korea,Russian Federation
Democratic People's Republic of Korea,France,D.P.R. of Korea,France
Democratic People's Republic of Korea,Spain,D.P.R. of Korea,Spain
Democratic People's Republic of Korea,United States,D.P.R. of Korea,United States
Democratic People's Republic of Korea,Australia,D.P.R. of Korea,Australia
Democratic People's Republic of Korea,Greece,D.P.R. of Korea,Greece
Democratic People's Republic of Korea,China,D.P.R. of Korea,China
Democratic People's Republic of Korea,United Kingdom,D.P.R. of Korea,United Kingdom
Democratic People's Republic of Korea,Brazil,D.P.R. of Korea,Brazil
Tunisia,Japan,Tunisia,Japan
Tunisia,Mexico,Tunisia,Mexico
Tunisia,Germany,Tunisia,Germany
Tunisia,United States,Tunisia,United States
Tunisia,China,Tunisia,China
Tunisia,United Kingdom,Tunisia,United Kingdom
Tunisia,Brazil,Tunisia,Brazil
Tunisia,Japan,Tunisia,Japan
Kenya,Japan,Kenya,Japan
Kenya,Mexico,Kenya,Mexico
Kenya,Germany,Kenya,Germany
Kenya,United States,Kenya,United States
Kenya,South Korea,Kenya,
Kenya,Spain,Kenya,Spain
Kenya,United States,Kenya,United States
Kenya,Australia,Kenya,Australia
Kenya,Greece,Kenya,Greece
Kenya,China,Kenya,China
Kenya,United Kingdom,Kenya,United Kingdom
Kenya,Brazil,Kenya,Brazil
Kenya,Japan,Kenya,Japan
Nigeria,Japan,Nigeria,Japan
Nigeria,Germany,Nigeria,Germany
Nigeria,United States,Nigeria,United States
Nigeria,Spain,Nigeria,Spain
Nigeria,United States,Nigeria,United States
Nigeria,Australia,Nigeria,Australia
Nigeria,Greece,Nigeria,Greece
Nigeria,China,Nigeria,China
Nigeria,Brazil,Nigeria,Brazil
Nigeria,Japan,Nigeria,Japan
German Democratic Republic (Germany),Mexico,Germany,Mexico
German Democratic Republic (Germany),France,Germany,France
German Democratic Republic (Germany),Japan,Germany,Japan
German Democratic Republic (Germany),Germany,Germany,Germany
German Democratic Republic (Germany),Canada,Germany,Canada
German Democratic Republic (Germany),Austria,Germany,Austria
German Democratic Republic (Germany),Russia,Germany,Russian Federation
German Democratic Republic (Germany),United States,Germany,United States
German Democratic Republic (Germany),Bosnia and Herzegovina,Germany,
German Democratic Republic (Germany),South Korea,Germany,
German Democratic Republic (Germany),Canada,Germany,Canada
Federal Republic of Germany,Mexico,Germany,Mexico
Federal Republic of Germany,France,Germany,France
Federal Republic of Germany,Japan,Germany,Japan
Federal Republic of Germany,Germany,Germany,Germany
Federal Republic of Germany,Canada,Germany,Canada
Federal Republic of Germany,Austria,Germany,Austria
Federal Republic of Germany,United States,Germany,United States
Federal Republic of Germany,Bosnia and Herzegovina,Germany,
Federal Republic of Germany,United States,Germany,United States
Federal Republic of Germany,South Korea,Germany,
Federal Republic of Germany,Canada,Germany,Canada
Mongolia,Mexico,Mongolia,Mexico
Mongolia,Germany,Mongolia,Germany
Mongolia,Canada,Mongolia,Canada
Mongolia,Russia,Mongolia,Russian Federation
Mongolia,South Korea,Mongolia,
Mongolia,Spain,Mongolia,Spain
Mongolia,United States,Mongolia,United States
Mongolia,Greece,Mongolia,Greece
Mongolia,China,Mongolia,China
Mongolia,United Kingdom,Mongolia,United Kingdom
Mongolia,Brazil,Mongolia,Brazil
Mongolia,Japan,Mongolia,Japan
Uganda,Mexico,Uganda,Mexico
Uganda,Germany,Uganda,Germany
Uganda,Russia,Uganda,Russian Federation
Uganda,United States,Uganda,United States
Uganda,United Kingdom,Uganda,United Kingdom
Uganda,Japan,Uganda,Japan
Cameroon,Mexico,Cameroon,Mexico
Cameroon,United States,Cameroon,United States
Cameroon,Australia,Cameroon,Australia
Cameroon,Greece,Cameroon,Greece
Cameroon,China,Cameroon,China
Cameroon,United Kingdom,Cameroon,United Kingdom
Colombia,Germany,Colombia,Germany
Colombia,United States,Colombia,United States
Colombia,South Korea,Colombia,
Colombia,Spain,Colombia,Spain
Colombia,Australia,Colombia,Australia
Colombia,Greece,Colombia,Greece
Colombia,China,Colombia,China
Colombia,United Kingdom,Colombia,United Kingdom
Colombia,Brazil,Colombia,Brazil
Colombia,Japan,Colombia,Japan
Niger,Germany,Niger,Germany
Niger,Brazil,Niger,Brazil
Bermuda,Canada,,Canada
Bermuda,Japan,,Japan
Thailand,Canada,Thailand,Canada
Thailand,United States,Thailand,United States
Thailand,South Korea,Thailand,
Thailand,Spain,Thailand,Spain
Thailand,United States,Thailand,United States
Thailand,Australia,Thailand,Australia
Thailand,Greece,Thailand,Greece
Thailand,China,Thailand,China
Thailand,United Kingdom,Thailand,United Kingdom
Thailand,Brazil,Thailand,Brazil
Thailand,Japan,Thailand,Japan
Liechtenstein,Austria,,Austria
Liechtenstein,United States,,United States
Liechtenstein,Bosnia and Herzegovina,,
Liechtenstein,Canada,,Canada
Liechtenstein,South Korea,,
Zimbabwe,Russia,Zimbabwe,Russian Federation
Zimbabwe,Greece,Zimbabwe,Greece
Zimbabwe,China,Zimbabwe,China
United Republic of Tanzania,Russia,U.R. of Tanzania: Mainland,Russian Federation
Guyana,Russia,,Russian Federation
People's Republic of China,United States,China,United States
People's Republic of China,South Korea,China,
People's Republic of China,France,China,France
People's Republic of China,Spain,China,Spain
People's Republic of China,Norway,China,Norway
People's Republic of China,United States,China,United States
People's Republic of China,Japan,China,Japan
People's Republic of China,Australia,China,Australia
People's Republic of China,United States,China,United States
People's Republic of China,Greece,China,Greece
People's Republic of China,China,China,China
People's Republic of China,Canada,China,Canada
People's Republic of China,United Kingdom,China,United Kingdom
People's Republic of China,Russia,China,Russian Federation
People's Republic of China,Brazil,China,Brazil
People's Republic of China,South Korea,China,
People's Republic of China,Japan,China,Japan
Syrian Arab Republic,United States,Syrian Arab Republic,United States
Syrian Arab Republic,United States,Syrian Arab Republic,United States
Syrian Arab Republic,Greece,Syrian Arab Republic,Greece
Syrian Arab Republic,Japan,Syrian Arab Republic,Japan
Côte d'Ivoire,United States,Cote d'Ivoire,United States
Côte d'Ivoire,Brazil,Cote d'Ivoire,Brazil
Côte d'Ivoire,Japan,Cote d'Ivoire,Japan
Algeria,United States,Algeria,United States
Algeria,Spain,Algeria,Spain
Algeria,United States,Algeria,United States
Algeria,Australia,Algeria,Australia
Algeria,China,Algeria,China
Algeria,United Kingdom,Algeria,United Kingdom
Algeria,Brazil,Algeria,Brazil
Dominican Republic,United States,Dominica,United States
Dominican Republic,Greece,Dominica,Greece
Dominican Republic,China,Dominica,China
Dominican Republic,United Kingdom,Dominica,United Kingdom
Dominican Republic,Brazil,Dominica,Brazil
Dominican Republic,Japan,Dominica,Japan
Zambia,United States,Zambia,United States
Zambia,United States,Zambia,United States
Suriname,South Korea,,
Suriname,Spain,,Spain
"Virgin Islands, US",South Korea,,
Senegal,South Korea,Senegal,
Indonesia,South Korea,Indonesia,
Indonesia,Spain,Indonesia,Spain
Indonesia,United States,Indonesia,United States
Indonesia,Australia,Indonesia,Australia
Indonesia,Greece,Indonesia,Greece
Indonesia,China,Indonesia,China
Indonesia,United Kingdom,Indonesia,United Kingdom
Indonesia,Brazil,Indonesia,Brazil
Indonesia,Japan,Indonesia,Japan
Costa Rica,South Korea,Costa Rica,
Costa Rica,United States,Costa Rica,United States
Costa Rica,Australia,Costa Rica,Australia
Netherlands Antilles,South Korea,,
Djibouti,South Korea,Djibouti,
Unified Team,France,,France
Unified Team,Spain,,Spain
Lithuania,Spain,Lithuania,Spain
Lithuania,United States,Lithuania,United States
Lithuania,Australia,Lithuania,Australia
Lithuania,Greece,Lithuania,Greece
Lithuania,China,Lithuania,China
Lithuania,United Kingdom,Lithuania,United Kingdom
Lithuania,Brazil,Lithuania,Brazil
Lithuania,Japan,Lithuania,Japan
Namibia,Spain,Namibia,Spain
Namibia,United States,Namibia,United States
Namibia,Japan,Namibia,Japan
Independent Olympic Athletes,Spain,,Spain
Independent Olympic Athletes,Brazil,,Brazil
Croatia,Spain,Croatia,Spain
Croatia,United States,Croatia,United States
Croatia,Australia,Croatia,Australia
Croatia,United States,Croatia,United States
Croatia,Greece,Croatia,Greece
Croatia,China,Croatia,China
Croatia,Canada,Croatia,Canada
Croatia,United Kingdom,Croatia,United Kingdom
Croatia,Russia,Croatia,Russian Federation
Croatia,Brazil,Croatia,Brazil
Croatia,Japan,Croatia,Japan
Israel,Spain,Israel,Spain
Israel,United States,Israel,United States
Israel,Australia,Israel,Australia
Israel,Greece,Israel,Greece
Israel,China,Israel,China
Israel,Brazil,Israel,Brazil
Israel,Japan,Israel,Japan
Slovenia,Spain,Slovenia,Spain
Slovenia,Norway,Slovenia,Norway
Slovenia,United States,Slovenia,United States
Slovenia,Australia,Slovenia,Australia
Slovenia,United States,Slovenia,United States
Slovenia,Greece,Slovenia,Greece
Slovenia,China,Slovenia,China
Slovenia,Canada,Slovenia,Canada
Slovenia,United Kingdom,Slovenia,United Kingdom
Slovenia,Russia,Slovenia,Russian Federation
Slovenia,Brazil,Slovenia,Brazil
Slovenia,South Korea,Slovenia,
Slovenia,Japan,Slovenia,Japan
Qatar,Spain,Qatar,Spain
Qatar,Australia,Qatar,Australia
Qatar,United Kingdom,Qatar,United Kingdom
Qatar,Brazil,Qatar,Brazil
Qatar,Japan,Qatar,Japan
Malaysia,Spain,Malaysia,Spain
Malaysia,United States,Malaysia,United States
Malaysia,China,Malaysia,China
Malaysia,United Kingdom,Malaysia,United Kingdom
Malaysia,Brazil,Malaysia,Brazil
Malaysia,Japan,Malaysia,Japan
Kazakhstan,Norway,Kazakhstan,Norway
Kazakhstan,United States,Kazakhstan,United States
Kazakhstan,Japan,Kazakhstan,Japan
Kazakhstan,Australia,Kazakhstan,Australia
Kazakhstan,Greece,Kazakhstan,Greece
Kazakhstan,China,Kazakhstan,China
Kazakhstan,Canada,Kazakhstan,Canada
Kazakhstan,United Kingdom,Kazakhstan,United Kingdom
Kazakhstan,Russia,Kazakhstan,Russian Federation
Kazakhstan,Brazil,Kazakhstan,Brazil
Kazakhstan,South Korea,Kazakhstan,
Kazakhstan,Japan,Kazakhstan,Japan
Ukraine,Norway,Ukraine,Norway
Ukraine,United States,Ukraine,United States
Ukraine,Japan,Ukraine,Japan
Ukraine,Australia,Ukraine,Australia
Ukraine,Greece,Ukraine,Greece
Ukraine,China,Ukraine,China
Ukraine,United Kingdom,Ukraine,United Kingdom
Ukraine,Russia,Ukraine,Russian Federation
Ukraine,Brazil,Ukraine,Brazil
Ukraine,South Korea,Ukraine,
Ukraine,Japan,Ukraine,Japan
Uzbekistan,Norway,Uzbekistan,Norway
Uzbekistan,United States,Uzbekistan,United States
Uzbekistan,Australia,Uzbekistan,Australia
Uzbekistan,Greece,Uzbekistan,Greece
Uzbekistan,China,Uzbekistan,China
Uzbekistan,United Kingdom,Uzbekistan,United Kingdom
Uzbekistan,Brazil,Uzbekistan,Brazil
Uzbekistan,Japan,Uzbekistan,Japan
Belarus,Norway,Belarus,Norway
Belarus,United States,Belarus,United States
Belarus,Japan,Belarus,Japan
Belarus,Australia,Belarus,Australia
Belarus,United States,Belarus,United States
Belarus,Greece,Belarus,Greece
Belarus,China,Belarus,China
Belarus,Canada,Belarus,Canada
Belarus,United Kingdom,Belarus,United Kingdom
Belarus,Russia,Belarus,Russian Federation
Belarus,Brazil,Belarus,Brazil
Belarus,South Korea,Belarus,
Belarus,Japan,Belarus,Japan
Czech Republic,United States,Czech Republic,United States
Czech Republic,Japan,Czech Republic,Japan
Czech Republic,Australia,Czech Republic,Australia
Czech Republic,United States,Czech Republic,United States
Czech Republic,Greece,Czech Republic,Greece
Czech Republic,China,Czech Republic,China
Czech Republic,Canada,Czech Republic,Canada
Czech Republic,United Kingdom,Czech Republic,United Kingdom
Czech Republic,Russia,Czech Republic,Russian Federation
Czech Republic,Brazil,Czech Republic,Brazil
Czech Republic,South Korea,Czech Republic,
Czech Republic,Japan,Czech Republic,Japan
Serbia and Montenegro,United States,,United States
Serbia and Montenegro,Australia,,Australia
Serbia and Montenegro,Greece,,Greece
Slovakia,United States,Slovakia,United States
Slovakia,Australia,Slovakia,Australia
Slovakia,Greece,Slovakia,Greece
Slovakia,China,Slovakia,China
Slovakia,Canada,Slovakia,Canada
Slovakia,United Kingdom,Slovakia,United Kingdom
Slovakia,Russia,Slovakia,Russian Federation
Slovakia,Brazil,Slovakia,Brazil
Slovakia,South Korea,Slovakia,
Slovakia,Japan,Slovakia,Japan
Armenia,United States,Armenia,United States
Armenia,Australia,Armenia,Australia
Armenia,China,Armenia,China
Armenia,United Kingdom,Armenia,United Kingdom
Armenia,Brazil,Armenia,Brazil
Armenia,Japan,Armenia,Japan
Burundi,United States,Burundi,United States
Burundi,Brazil,Burundi,Brazil
Ecuador,United States,Ecuador,United States
Ecuador,China,Ecuador,China
Ecuador,Japan,Ecuador,Japan
"Hong Kong, China",United States,,United States
"Hong Kong, China",Greece,,Greece
"Hong Kong, China",United Kingdom,,United Kingdom
"Hong Kong, China",Japan,,Japan
